Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Publication Stage,Access Type,Source,EID,ReadTimeStamp,Accepted
"Da Silva, J.C., Matelli, J.A., Bazzo, E.",7201733212; 8294221500; 6602558552,"Development of a knowledge-based system for cogeneration plant design: Verification, validation and lessons learned",2014,Knowledge-Based Systems,67,,,230,243,,10.0,10.1016/j.knosys.2014.05.002,https://www.scopus.com/inward/record.url?eid=2-s2.0-84904753229&partnerID=40&md5=d77666843663615430e2b5ab133c9209,Article,Final,,Scopus,2-s2.0-84904753229,1574448473.0,False
"Ma, Z., Dang, S., Gholamzadeh, A., Ridge, J.",56202243000; 55640423400; 56251890000; 56271996900,Operational state diagnosis algorithm of the oil-immersed transformer based on fuzzy synthetic evaluation model,2014,"Proceedings of International Conference on Harmonics and Quality of Power, ICHQP",,, 6842875,848,851,,10.0,10.1109/ICHQP.2014.6842875,https://www.scopus.com/inward/record.url?eid=2-s2.0-84904288697&partnerID=40&md5=ae4f1bd469cae4c2be52cc4fb7f53e37,Conference Paper,Final,,Scopus,2-s2.0-84904288697,1574448478.0,False
"Kumar, K., Singh, V.P.",57198856371; 56155232800,Power consumption based simulation model for mobile ad-hoc network,2014,Wireless Personal Communications,77,2,,1437,1448,,10.0,10.1007/s11277-013-1589-7,https://www.scopus.com/inward/record.url?eid=2-s2.0-84903603291&partnerID=40&md5=8f23a0c7081504b7b4f844f3107fcd07,Article,Final,,Scopus,2-s2.0-84903603291,1574448482.0,False
"Khan, S.N., Kalil, M.A., Mitschele-Thiel, A.",26646674100; 24071125900; 14037567500,CrSimulator: A discrete simulation model for cognitive radio ad hoc networks in OMNeT ++,2013,"Proceedings of 2013 6th Joint IFIP Wireless and Mobile Networking Conference, WMNC 2013",,, 6549029,,,,10.0,10.1109/WMNC.2013.6549029,https://www.scopus.com/inward/record.url?eid=2-s2.0-84881468720&partnerID=40&md5=b4d7f9b0590597428b61a7ef5fca09fb,Conference Paper,Final,,Scopus,2-s2.0-84881468720,1574448486.0,False
"Garro, A., Parisi, F., Russo, W.",57202448198; 36020331900; 6603513760,A process based on the Model-driven Architecture to enable the definition of Platform-Independent Simulation Models,2013,Advances in Intelligent Systems and Computing,197,,,113,129,,10.0,10.1007/978-3-642-34336-0_8,https://www.scopus.com/inward/record.url?eid=2-s2.0-85016312830&partnerID=40&md5=7abea61d41e8e2ceec2d6a1e56e79132,Article,Final,,Scopus,2-s2.0-85016312830,1574448491.0,False
"Wang, Y., Lees, M., Cai, W.",55954591500; 8879648300; 7401711207,Grid-based partitioning for large-scale distributed agent-based crowd simulation,2012,Proceedings - Winter Simulation Conference,,, 6465161,,,,10.0,10.1109/WSC.2012.6465161,https://www.scopus.com/inward/record.url?eid=2-s2.0-84874713543&partnerID=40&md5=e9507f0d9417e8ab43415b9472b3d170,Conference Paper,Final,,Scopus,2-s2.0-84874713543,1574448496.0,True
"Nabi, M., Al-Khoury, R.",55377388600; 6603124430,"An efficient finite volume model for shallow geothermal systems-Part II: Verification, validation and grid convergence",2012,Computers and Geosciences,49,,,297,307,,10.0,10.1016/j.cageo.2012.03.023,https://www.scopus.com/inward/record.url?eid=2-s2.0-84868200825&partnerID=40&md5=9aa25786babb720b33c2673f6e5c15fe,Article,Final,,Scopus,2-s2.0-84868200825,1574448512.0,False
"Wang, G., Gui, X.",8590520300; 7006336226,DRTEMBB: Dynamic recommendation trust evaluation model based on bidding,2012,Journal of Multimedia,7,4,,279,288,,10.0,10.4304/jmm.7.4.279-288,https://www.scopus.com/inward/record.url?eid=2-s2.0-84865834967&partnerID=40&md5=164456bba204f352b7327040137ab6e8,Article,Final,,Scopus,2-s2.0-84865834967,1574448520.0,False
"Gao, L., Zhang, Y., Zhang, K., Cai, G., Zhang, J., Shi, X.",55264007500; 8246679200; 55319219500; 36448162800; 55720334500; 13402800400,A computer simulation model for Doppler ultrasound signals from pulsatile blood flow in stenosed vessels,2012,Computers in Biology and Medicine,42,9,,906,914,,10.0,10.1016/j.compbiomed.2012.07.002,https://www.scopus.com/inward/record.url?eid=2-s2.0-84865534657&partnerID=40&md5=cb5417a91f49ca4dfb9034ce48b5ec57,Article,Final,,Scopus,2-s2.0-84865534657,1574448525.0,False
"Drignei, D., Mourelatos, Z.P.",56085869400; 7003333772,Parameter screening in statistical dynamic computer model calibration using global sensitivities,2012,"Journal of Mechanical Design, Transactions of the ASME",134,8, 81001,,,,10.0,10.1115/1.4006874,https://www.scopus.com/inward/record.url?eid=2-s2.0-84865124734&partnerID=40&md5=6617175ace948213dc55b9a412a98e7d,Article,Final,,Scopus,2-s2.0-84865124734,1574448529.0,False
"Cheng, C.-Y., Prabhu, V.",24342947000; 35618313400,Evaluation models for service oriented process in spare parts management,2012,Journal of Intelligent Manufacturing,23,4,,1403,1417,,10.0,10.1007/s10845-010-0486-0,https://www.scopus.com/inward/record.url?eid=2-s2.0-84865250871&partnerID=40&md5=932bb34048ac98cde50c2d49195993da,Article,Final,,Scopus,2-s2.0-84865250871,1574448537.0,False
"Brown, A.G., Shi, Y., Arndt, A., Müller, J., Lawford, P., Hose, D.R.",54683504900; 13908342800; 36455611500; 56268456300; 7003514022; 24298504100,Importance of realistic LVAD profiles for assisted aortic simulations: Evaluation of optimal outflow anastomosis locations,2012,Computer Methods in Biomechanics and Biomedical Engineering,15,6,,669,680,,10.0,10.1080/10255842.2011.556628,https://www.scopus.com/inward/record.url?eid=2-s2.0-84860728993&partnerID=40&md5=7db5931623d49e6a3400adad98984483,Article,Final,,Scopus,2-s2.0-84860728993,1574448539.0,False
"Jund, T., Kraemer, P., Cazier, D.",35113099300; 23492538600; 6508246552,A unified structure for crowd simulation,2012,Computer Animation and Virtual Worlds,23,3-4,,311,320,,10.0,10.1002/cav.1449,https://www.scopus.com/inward/record.url?eid=2-s2.0-84862851963&partnerID=40&md5=9f088d012ea5ce25a449a74f7b2a11e2,Conference Paper,Final,,Scopus,2-s2.0-84862851963,1574448542.0,True
"Wu, X.",55619314428,A distributed trust evaluation model for mobile P2P systems,2012,Journal of Networks,7,1,,157,164,,10.0,10.4304/jnw.7.1.157-164,https://www.scopus.com/inward/record.url?eid=2-s2.0-84863046515&partnerID=40&md5=3da9ec130fb6aab24731d693b7e3430f,Article,Final,,Scopus,2-s2.0-84863046515,1574448547.0,False
"Liu, P., Luo, J., Ai, T., Li, C.",55687184300; 57208798558; 55645790600; 36069501900,Evaluation model for similarity based on curve generalization,2012,Wuhan Daxue Xuebao (Xinxi Kexue Ban)/Geomatics and Information Science of Wuhan University,37,1,,114,117,,10.0,,https://www.scopus.com/inward/record.url?eid=2-s2.0-84863082649&partnerID=40&md5=376af36e32ad037416a46abb32d4d824,Article,Final,,Scopus,2-s2.0-84863082649,1574448554.0,False
"Bachir Bouiadjra, A., Benslimane, S.-M.",55014701200; 13606042900,FOEval: Full ontology evaluation - Model and perspectives,2011,NLP-KE 2011 - Proceedings of the 7th International Conference on Natural Language Processing and Knowledge Engineering,,, 6138244,464,468,,10.0,10.1109/NLPKE.2011.6138244,https://www.scopus.com/inward/record.url?eid=2-s2.0-84857323399&partnerID=40&md5=23767415e26f20c97629b054bdb79f34,Conference Paper,Final,,Scopus,2-s2.0-84857323399,1574448558.0,False
"Vigueras, G., Orduña, J.M., Lozano, M., Chrysanthou, Y.",24450985600; 7007109753; 7102205372; 6602594244,A distributed visualization system for crowd simulations,2011,Integrated Computer-Aided Engineering,18,4,,349,363,,10.0,10.3233/ICA-2011-0381,https://www.scopus.com/inward/record.url?eid=2-s2.0-80053479004&partnerID=40&md5=d98195147b854a08721272313eb98bd8,Article,Final,,Scopus,2-s2.0-80053479004,1574448609.0,True
"Sharma, S., Otunba, S., Han, J.",7405877092; 51161924500; 51161313200,Crowd simulation in emergency aircraft evacuation using Virtual Reality,2011,"Proceedings of CGAMES'2011 USA - 16th International Conference on Computer Games: AI, Animation, Mobile, Interactive Multimedia, Educational and Serious Games",,, 6000319,12,17,,10.0,10.1109/CGAMES.2011.6000319,https://www.scopus.com/inward/record.url?eid=2-s2.0-80053103596&partnerID=40&md5=45753faa354d57f66b0116711f3626fe,Conference Paper,Final,,Scopus,2-s2.0-80053103596,1574448611.0,True
"Mert, E., Yilmaz, S., Inal, M.",55597739100; 7102264821; 23389365100,An assessment of total RMR classification system using unified simulation model based on artificial neural networks,2011,Neural Computing and Applications,20,4,,603,610,,10.0,10.1007/s00521-011-0578-6,https://www.scopus.com/inward/record.url?eid=2-s2.0-79955819312&partnerID=40&md5=7bc6d31e28be7b9157acde2b125ee59e,Article,Final,,Scopus,2-s2.0-79955819312,1574448618.0,False
"Jiang, Z., Zhang, H., Yan, W., Zhou, M.",56020606800; 7409196483; 57193026510; 55229763100,An evaluation model of machining process for green manufacturing,2011,Advanced Science Letters,4,4-5,,1724,1728,,10.0,10.1166/asl.2011.1275,https://www.scopus.com/inward/record.url?eid=2-s2.0-79960458117&partnerID=40&md5=edd20c6e3fead9ba6b631967d60ba35f,Article,Final,,Scopus,2-s2.0-79960458117,1574448622.0,False
"Gao, P., Xu, R.-H.",57199928925; 55584802393,Event-driven simulation model for passenger flow in urban mass transit station,2010,Xitong Gongcheng Lilun yu Shijian/System Engineering Theory and Practice,30,11,,2121,2128,,10.0,,https://www.scopus.com/inward/record.url?eid=2-s2.0-78651111387&partnerID=40&md5=88b092ecddd2dec8e839a5f290f51268,Article,Final,,Scopus,2-s2.0-78651111387,1574448630.0,True
"Mulyana, W.W., Gunawan, T.S.",36548565800; 8286407700,Hajj crowd simulation based on intelligent agent,2010,"International Conference on Computer and Communication Engineering, ICCCE'10",,, 5556818,,,,10.0,10.1109/ICCCE.2010.5556818,https://www.scopus.com/inward/record.url?eid=2-s2.0-77957819265&partnerID=40&md5=7f3a34688adc6ddf7f9ac1e807a80dc4,Conference Paper,Final,,Scopus,2-s2.0-77957819265,1574448634.0,True
"Fernández, V., Grimaldo, F., Lozano, M., Orduña, J.M.",57067452200; 35606004100; 7102205372; 7007109753,Evaluating Jason for distributed crowd simulations,2010,"ICAART 2010 - 2nd International Conference on Agents and Artificial Intelligence, Proceedings",2,,,206,211,,10.0,,https://www.scopus.com/inward/record.url?eid=2-s2.0-77956383165&partnerID=40&md5=aea52bc12f85b2a7c019295f24445503,Conference Paper,Final,,Scopus,2-s2.0-77956383165,1574448637.0,True
"Yang, F., Yang, C., Liang, L., Du, S.",7403449397; 56176112600; 25632675700; 25930733800,New approach to determine common weights in DEA efficiency evaluation model,2010,Journal of Systems Engineering and Electronics,21,4,,609,615,,10.0,10.3969/j.issn.1004-4132.2010.04.013,https://www.scopus.com/inward/record.url?eid=2-s2.0-77958614855&partnerID=40&md5=bccfb9f8b5d1de14d5ea9b7c7438facf,Article,Final,,Scopus,2-s2.0-77958614855,1574448641.0,False
"Strömqvist Vetelino, F.E., Morgan, R.J.",36127987100; 7403330048,Model validation of turbulence effects on orbital angular momentum of single photons for optical communication,2010,Proceedings of SPIE - The International Society for Optical Engineering,7685,, 76850R,,,,10.0,10.1117/12.852581,https://www.scopus.com/inward/record.url?eid=2-s2.0-77953640913&partnerID=40&md5=3b70bc85bdb7332e01e0fe8d468f690c,Conference Paper,Final,,Scopus,2-s2.0-77953640913,1574448644.0,False
"Johansson, B., Kacker, R., Kessel, R., McLean, C., Sriram, R.",56660687400; 6603751138; 14060226500; 7103396793; 7006644037,Utilizing combinatorial testing on discrete event simulation models for sustainable manufacturing,2009,Proceedings of the ASME Design Engineering Technical Conference,2,PARTS A AND B,,1095,1101,,10.0,10.1115/DETC2009-86522,https://www.scopus.com/inward/record.url?eid=2-s2.0-82155188622&partnerID=40&md5=efa001ac68397b8562abefae5c4ff2bd,Conference Paper,Final,,Scopus,2-s2.0-82155188622,1574448647.0,False
"Luo, L., Zhou, S., Cai, W., Low, M.Y.H., Lees, M.",55452563100; 9335839800; 7401711207; 55938997600; 8879648300,Toward a generic framework for modeling human behaviors in crowd simulation,2009,"Proceedings - 2009 IEEE/WIC/ACM International Conference on Intelligent Agent Technology, IAT 2009",2,, 5284829,275,278,,10.0,10.1109/WI-IAT.2009.163,https://www.scopus.com/inward/record.url?eid=2-s2.0-80051560574&partnerID=40&md5=751f23a768165b96973891ef31ecb131,Conference Paper,Final,,Scopus,2-s2.0-80051560574,1574448651.0,True
"Li, B., Cao, Y.",36072727900; 57198762261,An improved comprehensive evaluation model of software dependability based on rough set theory,2009,Journal of Software,4,10,,1152,1159,,10.0,10.4304/jsw.4.10.1152-1159,https://www.scopus.com/inward/record.url?eid=2-s2.0-78651549458&partnerID=40&md5=39955103dff61fa53d27bdb1295d88ae,Article,Final,,Scopus,2-s2.0-78651549458,1574448657.0,False
"Chandy, A.J., Frankel, S.H.",6602326913; 7101849713,The t-model as a large eddy simulation model for the navier-stokes equations,2009,Multiscale Modeling and Simulation,8,2,,445,462,,10.0,10.1137/090760787,https://www.scopus.com/inward/record.url?eid=2-s2.0-77956047403&partnerID=40&md5=d0fcf9896c0d665a518d3bcbd5c914ae,Article,Final,,Scopus,2-s2.0-77956047403,1574448663.0,False
"Huber, D., Dangelmaier, W.",7202396102; 7003411320,Controlled simplification of material flow simulation models,2009,Proceedings - Winter Simulation Conference,,, 5429707,839,850,,10.0,10.1109/WSC.2009.5429707,https://www.scopus.com/inward/record.url?eid=2-s2.0-77951547941&partnerID=40&md5=966c1b302994e38a3641f8a3bd60b30c,Conference Paper,Final,,Scopus,2-s2.0-77951547941,1574448666.0,False
"Xu, C., Lin, J.",56164341000; 24923093300,An information system security evaluation model based on AHP and GRAP,2009,"2009 International Conference on Web Information Systems and Mining, WISM 2009",,, 5369289,493,496,,10.0,10.1109/WISM.2009.105,https://www.scopus.com/inward/record.url?eid=2-s2.0-77749337428&partnerID=40&md5=daab811d234a19fcfa5892966177a4f5,Conference Paper,Final,,Scopus,2-s2.0-77749337428,1574448670.0,False
"Shu, T., Liu, M., Li, Z.",35148522800; 56263481200; 55617676600,A performance evaluation model for RSS-based vertical handoffalgorithms,2009,Proceedings - IEEE Symposium on Computers and Communications,,, 5202324,271,276,,10.0,10.1109/ISCC.2009.5202324,https://www.scopus.com/inward/record.url?eid=2-s2.0-70449511283&partnerID=40&md5=08fa114f7b0c16468db92b3d08ca2042,Conference Paper,Final,,Scopus,2-s2.0-70449511283,1574448672.0,False
"Foudil, C., Noureddine, D., Sanza, C., Duthen, Y.",15020680600; 15021112300; 6508391301; 6506253665,Path finding and collision avoidance in crowd simulation,2009,Journal of Computing and Information Technology,17,3,,217,228,,10.0,10.2498/cit.1000873,https://www.scopus.com/inward/record.url?eid=2-s2.0-80052209532&partnerID=40&md5=2f19deaab95cef487e54cca78c8550c0,Article,Final,Open Access,Scopus,2-s2.0-80052209532,1574448675.0,True
"Fei, L., Ming, Y.",57069632000; 55322293900,"An Optimal Design Method for Simulation Verification, Validation and Accreditation Schemes",2009,SIMULATION,85,6,,375,386,,10.0,10.1177/0037549709103652,https://www.scopus.com/inward/record.url?eid=2-s2.0-66149190713&partnerID=40&md5=c89ee7599e2ed102dc463eda9eecb2ef,Article,Final,,Scopus,2-s2.0-66149190713,1574448683.0,True
"Bause, F., Buchholz, P., Kriege, J., Vastag, S.",6603195355; 57193779606; 35090152400; 35090661700,A framework for simulation models of service-oriented architectures,2008,Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics),5119 LNCS,,,208,227,,10.0,10.1007/978-3-540-69814-2-14,https://www.scopus.com/inward/record.url?eid=2-s2.0-70349860124&partnerID=40&md5=a6f65af32112d5275e9b71897ad1c04b,Conference Paper,Final,,Scopus,2-s2.0-70349860124,1574448690.0,False
"Leuschel, M.",7004203069,The high road to formal validation: Model checking high-level versus low-level specifications,2008,Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics),5238 LNCS,,,4,23,,10.0,10.1007/978-3-540-87603-8_2,https://www.scopus.com/inward/record.url?eid=2-s2.0-56549114694&partnerID=40&md5=15eb1cffa1abee2ef9be05b791b82c3b,Conference Paper,Final,,Scopus,2-s2.0-56549114694,1574448699.0,False
"Kolovos, D.S., Paige, R.F., Rose, L.M., Polack, F.A.C.",8895714200; 7004563809; 22981869900; 8727617800,Unit testing model management operations,2008,"2008 IEEE International Conference on Software Testing Verification and Validation Workshop, ICSTW'08",,, 4566996,97,104,,10.0,10.1109/ICSTW.2008.50,https://www.scopus.com/inward/record.url?eid=2-s2.0-52249123325&partnerID=40&md5=0082617b3c43d18e3177c7df9951bad7,Conference Paper,Final,,Scopus,2-s2.0-52249123325,1574448701.0,False
"Gutiérrez, R., Gutiérrez-Sánchez, R., Nafidi, A.",10439480300; 10440623800; 8294506100,Trend analysis and computational statistical estimation in a stochastic Rayleigh model: Simulation and application,2008,Mathematics and Computers in Simulation,77,2-3,,209,217,,10.0,10.1016/j.matcom.2007.08.017,https://www.scopus.com/inward/record.url?eid=2-s2.0-39449103047&partnerID=40&md5=2d9b56e9d31db4ebe5bff849dc68969a,Article,Final,,Scopus,2-s2.0-39449103047,1574448707.0,False
"Wallach, A., Eytan, D., Marom, S., Meir, R.",23768404500; 35606972800; 7003418560; 7006473464,"Selective adaptation in networks of heterogeneous populations: Model, simulation, and experiment",2008,PLoS Computational Biology,4,2,,,,,10.0,10.1371/journal.pcbi.0040029,https://www.scopus.com/inward/record.url?eid=2-s2.0-40149091448&partnerID=40&md5=f9c9b99da4040107f011265bd83b16db,Article,Final,Open Access,Scopus,2-s2.0-40149091448,1574448710.0,False
"Joia, L.A., Barbosa de Oliveira, L.C.",6602356691; 36928876300,Development and testing of an e-commerce web site evaluation model,2008,Journal of Electronic Commerce in Organizations,6,3,,37,53,,10.0,10.4018/jeco.2008070103,https://www.scopus.com/inward/record.url?eid=2-s2.0-56549101393&partnerID=40&md5=4746da82d6bd7506f415d29cccefe54e,Article,Final,,Scopus,2-s2.0-56549101393,1574448713.0,False
"Pelechano, N., Malkawi, A.",15078082200; 6701461443,Comparison of crowd simulation for building evacuation and an alternative approach,2007,IBPSA 2007 - International Building Performance Simulation Association 2007,,,,1514,1521,,10.0,,https://www.scopus.com/inward/record.url?eid=2-s2.0-84869039042&partnerID=40&md5=fe53753c0d8e2057abd6096ec6ac8fbe,Conference Paper,Final,,Scopus,2-s2.0-84869039042,1574448720.0,True
"Kwiatkowska, M.",26643165900,Quantitative verification: Models techniques and tools,2007,"6th Joint Meeting of the European Software Engineering Conference and the ACM SIGSOFT Symposium on the Foundations of Software Engineering, ESEC/FSE 2007",,,,449,458,,10.0,10.1145/1287624.1287688,https://www.scopus.com/inward/record.url?eid=2-s2.0-57149147560&partnerID=40&md5=edbcbf8d32b5846d6bbadf0057bd697c,Conference Paper,Final,,Scopus,2-s2.0-57149147560,1574448723.0,False
"Chunhui, P., Jing, A., Meiqi, F.",24469608500; 57200783090; 24470109600,Study on credit evaluation model and algorithm for C2C E-commerce,2007,Proceedings - ICEBE 2007: IEEE International Conference on e-Business Engineering - Workshops: SOAIC 2007; SOSE 2007; SOKM 2007,,, 4402122,392,395,,10.0,10.1109/ICEBE.2007.77,https://www.scopus.com/inward/record.url?eid=2-s2.0-47349110570&partnerID=40&md5=de074fa0be08fc2cb0b21c8f751de7d8,Conference Paper,Final,,Scopus,2-s2.0-47349110570,1574448733.0,False
"Yilmaz, L.",35436649600,Using meta-level ontology relations to measure conceptual alignment and interoperability of simulation models,2007,Proceedings - Winter Simulation Conference,,, 4419708,1090,1099,,10.0,10.1109/WSC.2007.4419708,https://www.scopus.com/inward/record.url?eid=2-s2.0-42649131266&partnerID=40&md5=1c7b61cad5fe07a79fe77fd25ba37040,Conference Paper,Final,,Scopus,2-s2.0-42649131266,1574448739.0,False
"Lozano, M., Morillo, P., Lewis, D., Reiners, D., Cruz-Neira, C.",7102205372; 13410783900; 57198229620; 6507129285; 57203797818,A distributed framework for scalable large-scale crowd simulation,2007,Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics),4563 LNCS,,,111,121,,10.0,,https://www.scopus.com/inward/record.url?eid=2-s2.0-38349028925&partnerID=40&md5=72ec9d9b7466557e4461f061799a3639,Conference Paper,Final,,Scopus,2-s2.0-38349028925,1574448742.0,True
"Van De Ven, J.D., Erdman, A.G.",15063668200; 7007082404,Laser transmission welding of thermoplastics - Part II: Experimental model validation,2007,"Journal of Manufacturing Science and Engineering, Transactions of the ASME",129,5,,859,867,,10.0,10.1115/1.2752832,https://www.scopus.com/inward/record.url?eid=2-s2.0-36549003136&partnerID=40&md5=e463b0e3f6cee466883ec77b972bd047,Article,Final,,Scopus,2-s2.0-36549003136,1574448746.0,False
"Petalas, Y.G., Parsopoulos, K.E., Papageorgiou, E.I., Groumpos, P.P., Vrahatis, M.N.",6506580358; 6602360485; 56429800100; 35548879900; 7005158816,Enhanced learning in fuzzy simulation models using memetic particle swarm optimization,2007,"Proceedings of the 2007 IEEE Swarm Intelligence Symposium, SIS 2007",,, 4223150,16,22,,10.0,10.1109/SIS.2007.368021,https://www.scopus.com/inward/record.url?eid=2-s2.0-34548744661&partnerID=40&md5=9ce86372a768713652827bf08da35192,Conference Paper,Final,,Scopus,2-s2.0-34548744661,1574448749.0,False
"Wakeland, W., Macovsky, L., An, G.",8914936300; 16638198700; 7102580539,A hybrid simulation model for studying acute inflammatory response,2007,"Agent Directed Simulation Symposium, ADS 2007 - Proceedings of the 2007 Spring Simulation Multiconference, SpringSim 2007",,,,39,46,,10.0,,https://www.scopus.com/inward/record.url?eid=2-s2.0-84971339315&partnerID=40&md5=5b0e2c7aa627f856cdc90af232c6b0da,Conference Paper,Final,,Scopus,2-s2.0-84971339315,1574448752.0,False
"Casanova, V., Salt, J.J., Cuenca, A., Mascarós, V.",6602280348; 24172738800; 12344784600; 24172528400,Networked control systems over profibus-DP: Simulation model,2006,Proceedings of the IEEE International Conference on Control Applications,,, 4776836,1337,1342,,10.0,10.1109/CACSD-CCA-ISIC.2006.4776836,https://www.scopus.com/inward/record.url?eid=2-s2.0-56349145952&partnerID=40&md5=c4d1961f105b3d5345bf843d575dbfa3,Conference Paper,Final,,Scopus,2-s2.0-56349145952,1574448754.0,False
"Brailsford, S.C., Sykes, J., Harper, P.R.",7004634051; 57198174752; 7201957847,Incorporating human behavior in healthcare simulation models,2006,Proceedings - Winter Simulation Conference,,, 4117641,466,472,,10.0,10.1109/WSC.2006.323117,https://www.scopus.com/inward/record.url?eid=2-s2.0-46149104550&partnerID=40&md5=736e5f604b9a5a3f7578ec1954082422,Conference Paper,Final,,Scopus,2-s2.0-46149104550,1574448762.0,True
"Papalexiou, S., Moussiopoulos, N.",7004610060; 7005597265,"Wind flow and photochemical air pollution in Thessaloniki, Greece. Part II: Statistical evaluation of European Zooming Model's simulation results",2006,Environmental Modelling and Software,21,12,,1752,1758,,10.0,10.1016/j.envsoft.2005.09.004,https://www.scopus.com/inward/record.url?eid=2-s2.0-33746504514&partnerID=40&md5=00a02a8703b62c97208720d43fde0901,Article,Final,,Scopus,2-s2.0-33746504514,1574448768.0,False
"Lin, A., Pang, Y.",14063724200; 36939452000,Hierarchical fuzzy evaluation model the suitability evaluation readjustment of village land use,2006,Geomatics and Information Science of Wuhan University,31,7,,624,627,,10.0,,https://www.scopus.com/inward/record.url?eid=2-s2.0-33747037868&partnerID=40&md5=252976efb78c5d0d1e8a6abd67c9ec04,Article,Final,,Scopus,2-s2.0-33747037868,1574448773.0,False
"Gunes, E., Szechtman, R.",15837080300; 35613374800,A simulation model of a helicopter ambulance service,2005,Proceedings - Winter Simulation Conference,2005,, 1574344,951,957,,10.0,10.1109/WSC.2005.1574344,https://www.scopus.com/inward/record.url?eid=2-s2.0-33845976429&partnerID=40&md5=02f635d5812b98d29fe0a72d6bbbe388,Conference Paper,Final,,Scopus,2-s2.0-33845976429,1574448776.0,False
"Neele, F.",6701780952,"Infrared ship signature prediction, model validation and sky radiance",2005,Proceedings of SPIE - The International Society for Optical Engineering,5811,, 24,180,187,,10.0,10.1117/12.603785,https://www.scopus.com/inward/record.url?eid=2-s2.0-27544494293&partnerID=40&md5=d6872b5754e6a949e88266ca16bf4b3c,Conference Paper,Final,,Scopus,2-s2.0-27544494293,1574448778.0,False
"Hong, K.J., Kim, T.G.",36748952700; 55665444900,Timed I/O test sequences for discrete event model verification,2005,Lecture Notes in Artificial Intelligence (Subseries of Lecture Notes in Computer Science),3397,,,275,284,,10.0,,https://www.scopus.com/inward/record.url?eid=2-s2.0-26844477982&partnerID=40&md5=c4d3534c0f1f941be1e266acac9841c1,Conference Paper,Final,,Scopus,2-s2.0-26844477982,1574448781.0,False
"Bouchhima, F., Nicolescu, G., Aboulhamid, M., Abid, M.",24178799100; 8925268100; 6603648120; 35742803600,Discrete-continuous simulation model for accurate validation in component-based heterogeneous SoC design,2005,Proceedings of the International Workshop on Rapid System Prototyping,,,,181,187,,10.0,10.1109/RSP.2005.22,https://www.scopus.com/inward/record.url?eid=2-s2.0-26444571903&partnerID=40&md5=64cc50b5335137018886c1e9e5b7904f,Conference Paper,Final,,Scopus,2-s2.0-26444571903,1574448787.0,False
"Dodds, S.A., Heath, W.P.",8254060100; 7101777739,Construction of an online reduced-spectrum NIR calibration model from full-spectrum data,2005,Chemometrics and Intelligent Laboratory Systems,76,1,,37,43,,10.0,10.1016/j.chemolab.2004.09.002,https://www.scopus.com/inward/record.url?eid=2-s2.0-14844300849&partnerID=40&md5=85f2b69d474c1c264022fabc1d83088c,Article,Final,,Scopus,2-s2.0-14844300849,1574448790.0,False
"Voicu, H., Kozma, R., Wong, D., Freeman, W.J.",6602331213; 7004822939; 7401534282; 57203229150,Spatial navigation model based on chaotic attractor networks,2004,Connection Science,16,1,,1,19,,10.0,10.1080/09540090410001664641,https://www.scopus.com/inward/record.url?eid=2-s2.0-2542613826&partnerID=40&md5=8d23004726b33efbdda1027bba34f51a,Article,Final,,Scopus,2-s2.0-2542613826,1574448798.0,False
"Taravade, K.N., Belova, N., Jost, A.M., Callan, N.P.",6602891522; 57188590710; 7006042022; 7003468539,Multi-Chip Reticle Approach for OPC Model Verification,2003,Proceedings of SPIE - The International Society for Optical Engineering,5256,2,,945,955,,10.0,,https://www.scopus.com/inward/record.url?eid=2-s2.0-1842474913&partnerID=40&md5=0f7b34752eb7eb77797494811d32361d,Conference Paper,Final,,Scopus,2-s2.0-1842474913,1574448800.0,False
"Kuljis, J., Paul, R.J.",6701390963; 56265091800,Web-based discrete event simulation models: Current states and possible futures,2003,Simulation and Gaming,34,1,,39,53,,10.0,10.1177/1046878102250484,https://www.scopus.com/inward/record.url?eid=2-s2.0-84949117806&partnerID=40&md5=aa11b6517c056afd447c580dff91adf0,Article,Final,,Scopus,2-s2.0-84949117806,1574448803.0,False
"Czarski, T., Poźniak, K., Romaniuk, R., Simrock, S.",6602614164; 7003955342; 7006559975; 6701724506,Cavity control system model simulations for TESLA linear accelerator,2002,Proceedings of SPIE - The International Society for Optical Engineering,5125,,,214,222,,10.0,,https://www.scopus.com/inward/record.url?eid=2-s2.0-1342305182&partnerID=40&md5=11158ecdf4ed3308feb41527f6e3bd19,Conference Paper,Final,,Scopus,2-s2.0-1342305182,1574448806.0,False
"Doebling, S.W., Hemez, F.M., Schultze, J.F., Cundy, A.L.",7003922792; 7003504954; 7103037652; 7004852145,A metamodel-based approach to model validation for nonlinear finite element simulations,2002,Proceedings of SPIE - The International Society for Optical Engineering,4753 I,,,671,678,,10.0,,https://www.scopus.com/inward/record.url?eid=2-s2.0-0036417337&partnerID=40&md5=d66bd27f8921b92717149422b9ad5df6,Conference Paper,Final,,Scopus,2-s2.0-0036417337,1574448810.0,False
